date	title	image	body
2013-05-27	期間限定オープン		5月27日より、阪急フルーツギャザリング・エキュート品川店に登場！
2013-06-12	期間限定“ナチュラルテック・ビッグボトル発売”		6月12日より、伊勢丹新宿店ビューティアポセカリーにて販売スタート！
2013-09-11	ナチュラルテック人気の＜E＞シリーズより、新商品登場！		爽快感が心地よいスカルプ用ローションで、柔軟で健やかな頭皮を目指します。NNナチュラルテック　スカルプローション＜E＞100mL　6,825円NNNN新商品を記念して、スカルプローション＜E＞にミニシャンプー＜E＞とブラシがついたNNスカルプケアキットを同時発売。
2013-10-04	ホームページをリニューアルしました。		ダヴィネス公式ホームページをリニューアルしました。
2014-10-04	ダヴィネス公式facebook		いいねを押して旬な情報や世界各国のダヴィネス情報をチェック！
2013-11-15	「ナチュラルテック」シリーズからは、スターアイテム＜N＞ラインのシャンプー、コンディショナーにパックのミニサイズが付いたスターコフレが登場します。	620_info_02.jpg	
2013-11-15	11月16日(土)よりコフレが新登場！日本未発売のスタイリングラインと売上げNo1オイオイルのセットです。	620_info_01.jpg	
2013-12-01	12月1日(水)よりビッグボトル登場！	620_info_03.jpg	
2013-02-01	2月1日(土)よりスタイリングラインが登場！	620_info_04.jpg	
